No;Pertanyaan;Pil1;Pil2;Pil3;Jawaban
1;Apa ibu kota Indonesia?;Jakarta;Bandung;Surabaya;Jakarta
2;Apa yang dimaksud dengan RAM pada komputer?;Random Access Memory;Read Always Memory;Real Application Module;Random Access Memory
3;Apa penyebab utama demam?;Infeksi virus atau bakteri;Stres;Kelelahan;Infeksi virus atau bakteri
4;Apa fungsi utama jantung?;Memompa darah;Menyaring udara;Mencerna makanan;Memompa darah
5;Siapa penemu lampu pijar?;Thomas Edison;Nikola Tesla;Alexander Graham Bell;Thomas Edison
6;Apa satuan ukuran panjang dalam sistem metrik?;Meter;Kilogram;Liter;Meter
7;Apa nama planet terbesar di tata surya?;Jupiter;Saturnus;Mars;Jupiter
8;Bagaimana cara mencegah penularan flu?;Mencuci tangan secara rutin;Menghindari olahraga;Minum kopi;Mencuci tangan secara rutin
9;Apa itu fotosintesis?;Proses menghasilkan makanan pada tumbuhan;Proses pernapasan pada hewan;Proses penguraian zat kimia;Proses menghasilkan makanan pada tumbuhan
10;Apa bahasa pemrograman yang sering digunakan untuk pengembangan web?;Python;JavaScript;C++;JavaScript
11;Apa yang dimaksud dengan URL?;Uniform Resource Locator;Universal Reference Language;Unique Response Link;Uniform Resource Locator
12;Apa organ tubuh yang menyaring darah?;Ginjal;Hati;Jantung;Ginjal
13;Apa nama benua terkecil di dunia?;Australia;Antartika;Asia;Australia
14;Apa fungsi utama akar pada tumbuhan?;Menyerap air dan nutrisi;Menghasilkan bunga;Menyimpan oksigen;Menyerap air dan nutrisi
15;Apa itu VPN?;Virtual Private Network;Very Powerful Node;Variable Public Network;Virtual Private Network
16;Apa penyakit yang disebabkan oleh kekurangan vitamin C?;Scurvy;Anemia;Diabetes;Scurvy
17;Siapa penulis novel "Laskar Pelangi"?;Andrea Hirata;Tere Liye;Ahmad Fuadi;Andrea Hirata
18;Apa lambang kimia untuk air?;H2O;CO2;O2;H2O
19;Apa fungsi utama paru-paru?;Pertukaran oksigen dan karbon dioksida;Pencernaan makanan;Pengaturan suhu tubuh;Pertukaran oksigen dan karbon dioksida
20;Apa itu cloud computing?;Layanan penyimpanan dan pemrosesan data melalui internet;Pemrograman aplikasi desktop;Pengolahan data manual;Layanan penyimpanan dan pemrosesan data melalui internet
21;Apa hukum Newton yang menyatakan bahwa setiap aksi memiliki reaksi yang sama dan berlawanan?;Hukum I Newton;Hukum II Newton;Hukum III Newton;Hukum III Newton
22;Apa gas yang paling banyak terdapat di atmosfer Bumi?;Oksigen;Nitrogen;Karbon dioksida;Nitrogen
23;Apa nama proses perubahan cair menjadi gas?;Kondensasi;Evaporasi;Fusi;Evaporasi
24;Apa satuan daya dalam sistem internasional (SI)?;Joule;Watt;Newton;Watt
25;Apa nama alat yang digunakan untuk mengukur tekanan udara?;Termometer;Barometer;Higrometer;Barometer
26;Apa senyawa kimia yang dikenal sebagai garam dapur?;NaCl;KCl;CaCO3;NaCl
27;Apa yang menjadi sumber energi utama Bumi?;Matahari;Angin;Panaskan bumi;Matahari
28;Apa nama lapisan atmosfer yang melindungi Bumi dari sinar ultraviolet?;Stratosfer;Troposfer;Ozon;Ozon
29;Apa organel sel yang berfungsi sebagai pusat energi?;Mitokondria;Nukleus;Ribosom;Mitokondria
30;Apa nama galaksi tempat Bumi berada?;Andromeda;Milky Way;Bima Sakti;Milky Way
31;Apa itu kecerdasan buatan (AI)?;Sistem komputer yang dapat belajar dan membuat keputusan seperti manusia;Perangkat lunak untuk mengedit video;Alat untuk mempercepat internet;Sistem komputer yang dapat belajar dan membuat keputusan seperti manusia
32;Apa teknologi yang digunakan untuk menyimpan data dalam jumlah besar di cloud?;Big Data;Quantum Computing;Blockchain;Big Data
33;Apa nama teknologi pengeditan gen yang memungkinkan modifikasi DNA secara presisi?;CRISPR;PCR;RNAi;CRISPR
34;Apa fungsi utama komputer kuantum?;Memproses data menggunakan prinsip mekanika kuantum;Meningkatkan kecepatan internet;Mengembangkan aplikasi mobile;Memproses data menggunakan prinsip mekanika kuantum
35;Apa yang dimaksud dengan Internet of Things (IoT)?;Jaringan perangkat yang saling terhubung melalui internet;Protokol keamanan siber;Platform untuk streaming video;Jaringan perangkat yang saling terhubung melalui internet
36;Apa teknologi yang memungkinkan pembuatan objek fisik dari model digital?;Pencetakan 3D;Realitas Virtual;Augmented Reality;Pencetakan 3D
37;Apa nama bahan yang dikenal sangat kuat dan ringan; digunakan dalam teknologi modern?;Graphene;Karbon Fiber;Silikon;Graphene
38;Apa yang dimaksud dengan machine learning?;Cabang AI yang memungkinkan komputer belajar dari data;Perangkat lunak untuk desain grafis;Teknologi untuk transmisi data nirkabel;Cabang AI yang memungkinkan komputer belajar dari data
39;Apa tujuan utama teknologi blockchain?;Menyimpan data secara terdesentralisasi dan aman;Meningkatkan resolusi kamera;Mempercepat prosesor komputer;Menyimpan data secara terdesentralisasi dan aman
40;Apa nama misi NASA untuk menjelajahi Mars dengan rover canggih pada tahun 2020-an?;Curiosity;Perseverance;Opportunity;Perseverance
41;Apa nutrisi utama yang diperlukan untuk membangun otot?;Protein;Karbohidrat;Lemak;Protein
42;Apa penyakit yang disebabkan oleh kekurangan insulin dalam tubuh?;Diabetes;Hipertensi;Anemia;Diabetes
43;Berapa jumlah minimal air yang disarankan untuk diminum per hari oleh orang dewasa?;1 liter;2 liter;3 liter;2 liter
44;Apa fungsi utama vitamin D dalam tubuh?;Membantu penyerapan kalsium;Meningkatkan penglihatan;Mempercepat metabolisme;Membantu penyerapan kalsium
45;Apa nama infeksi yang disebabkan oleh virus SARS-CoV-2?;Flu biasa;COVID-19;Tuberkulosis;COVID-19
46;Apa cara terbaik untuk mencegah penyebaran penyakit menular?;Menggunakan antibiotik;Mencuci tangan dengan sabun;Minum vitamin C;Mencuci tangan dengan sabun
47;Apa yang dimaksud dengan indeks massa tubuh (IMT)?;Ukuran untuk menilai status berat badan;Ukuran tekanan darah;Ukuran kadar gula darah;Ukuran untuk menilai status berat badan
48;Apa penyakit yang ditandai dengan tekanan darah tinggi?;Hipertensi;Asma;Artritis;Hipertensi
49;Apa manfaat utama olahraga rutin bagi kesehatan jantung?;Meningkatkan fleksibilitas;Mengurangi risiko penyakit jantung;Meningkatkan penglihatan;Mengurangi risiko penyakit jantung
50;Apa nama zat dalam makanan yang membantu pencernaan dan tidak diserap tubuh?;Serat;Lemak;Gula;Serat
51;Apa nama sungai terpanjang di dunia?;Nil;Amazon;Mississippi;Amazon
52;Apa benua yang dikenal sebagai benua es?;Australia;Antartika;Afrika;Antartika
53;Apa nama gunung tertinggi di dunia?;Kilimanjaro;Everest;K2;Everest
54;Apa ibu kota Jepang?;Tokyo;Osaka;Kyoto;Tokyo
55;Apa samudra terkecil di dunia?;Samudra Hindia;Samudra Arktik;Samudra Pasifik;Samudra Arktik
56;Apa nama gurun terbesar di dunia?;Sahara;Gobi;Antartika;Sahara
57;Apa nama selat yang memisahkan Pulau Jawa dan Sumatra?;Selat Sunda;Selat Malaka;Selat Bali;Selat Sunda
